Date                	Time                	Reading             	Alarm               	
7/6/2017            	7:03:55 PM          	59.997 °C           	                    	
7/6/2017            	7:04:05 PM          	59.996 °C           	                    	
7/6/2017            	7:04:15 PM          	59.991 °C           	                    	
7/6/2017            	7:04:28 PM          	59.992 °C           	                    	
7/6/2017            	7:04:35 PM          	59.988 °C           	                    	
7/6/2017            	7:04:45 PM          	59.989 °C           	                    	
7/6/2017            	7:04:55 PM          	59.988 °C           	                    	
7/6/2017            	7:05:08 PM          	59.984 °C           	                    	
7/6/2017            	7:05:15 PM          	59.984 °C           	                    	
7/6/2017            	7:05:25 PM          	59.986 °C           	                    	
7/6/2017            	7:05:35 PM          	59.988 °C           	                    	
7/6/2017            	7:05:55 PM          	59.997 °C           	                    	
7/6/2017            	7:06:05 PM          	59.997 °C           	                    	
7/6/2017            	7:06:15 PM          	59.995 °C           	                    	
7/6/2017            	7:06:28 PM          	59.994 °C           	                    	
7/6/2017            	7:06:35 PM          	59.995 °C           	                    	
7/6/2017            	7:06:45 PM          	59.991 °C           	                    	
7/6/2017            	7:06:55 PM          	59.990 °C           	                    	
7/6/2017            	7:07:08 PM          	59.988 °C           	                    	
7/6/2017            	7:07:15 PM          	59.985 °C           	                    	
7/6/2017            	7:07:25 PM          	59.984 °C           	                    	
7/6/2017            	7:07:35 PM          	59.985 °C           	                    	
7/6/2017            	7:07:48 PM          	59.978 °C           	                    	
7/6/2017            	7:07:55 PM          	59.976 °C           	                    	
7/6/2017            	7:08:05 PM          	59.983 °C           	                    	
7/6/2017            	7:08:15 PM          	59.975 °C           	                    	
7/6/2017            	7:08:29 PM          	59.980 °C           	                    	
7/6/2017            	7:08:35 PM          	59.979 °C           	                    	
7/6/2017            	7:08:45 PM          	59.979 °C           	                    	
7/6/2017            	7:08:55 PM          	59.980 °C           	                    	
7/6/2017            	7:09:05 PM          	59.980 °C           	                    	
7/6/2017            	7:09:15 PM          	59.977 °C           	                    	
7/6/2017            	7:09:25 PM          	59.969 °C           	                    	
7/6/2017            	7:09:35 PM          	59.970 °C           	                    	
7/6/2017            	7:09:45 PM          	59.968 °C           	                    	
7/6/2017            	7:09:55 PM          	59.968 °C           	                    	
7/6/2017            	7:10:05 PM          	59.969 °C           	                    	
7/6/2017            	7:10:16 PM          	59.968 °C           	                    	
7/6/2017            	7:10:25 PM          	59.969 °C           	                    	
7/6/2017            	7:10:35 PM          	59.972 °C           	                    	
7/6/2017            	7:10:45 PM          	59.971 °C           	                    	
7/6/2017            	7:10:56 PM          	59.975 °C           	                    	
7/6/2017            	7:11:05 PM          	59.980 °C           	                    	
7/6/2017            	7:11:15 PM          	59.982 °C           	                    	
7/6/2017            	7:11:25 PM          	59.984 °C           	                    	
7/6/2017            	7:11:36 PM          	59.980 °C           	                    	
7/6/2017            	7:11:46 PM          	59.980 °C           	                    	
7/6/2017            	7:11:55 PM          	59.982 °C           	                    	
7/6/2017            	7:12:05 PM          	59.981 °C           	                    	
7/6/2017            	7:12:16 PM          	59.975 °C           	                    	
7/6/2017            	7:12:25 PM          	59.974 °C           	                    	
7/6/2017            	7:12:35 PM          	59.969 °C           	                    	
7/6/2017            	7:12:45 PM          	59.972 °C           	                    	
7/6/2017            	7:12:56 PM          	59.971 °C           	                    	
7/6/2017            	7:13:05 PM          	59.972 °C           	                    	
7/6/2017            	7:13:15 PM          	59.969 °C           	                    	
7/6/2017            	7:13:25 PM          	59.970 °C           	                    	
7/6/2017            	7:13:37 PM          	59.970 °C           	                    	
7/6/2017            	7:13:45 PM          	59.972 °C           	                    	
7/6/2017            	7:13:55 PM          	59.974 °C           	                    	
7/6/2017            	7:14:05 PM          	59.976 °C           	                    	
7/6/2017            	7:14:17 PM          	59.972 °C           	                    	
7/6/2017            	7:14:25 PM          	59.968 °C           	                    	
7/6/2017            	7:14:35 PM          	59.965 °C           	                    	
7/6/2017            	7:14:45 PM          	59.963 °C           	                    	
7/6/2017            	7:14:57 PM          	59.958 °C           	                    	
